type;class_name;annotation_description;member_name
class;com.azure.ai.agents.models.A2APreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.A2APreviewToolboxTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.A2AToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.A2AToolCallOutput;Preview API. preview_tool;
field;com.azure.ai.agents.models.AgentDetails;Preview API. DigitalWorker=V1Preview;digital_worker_type
field;com.azure.ai.agents.models.AgentEndpointProtocol;Preview API.;VOICE
class;com.azure.ai.agents.models.AgentHarness;Preview API. GitHubCopilot=V1Preview;
field;com.azure.ai.agents.models.AgentKind;Preview API.;VOICE
class;com.azure.ai.agents.models.AgentOptimizationCandidate;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationDatasetCriterion;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationDatasetInput;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationDatasetInputType;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationDatasetItem;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationEvaluatorReference;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationInlineDatasetInput;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationJob;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationJobInputs;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationJobListItem;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationJobProgress;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationJobResult;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationOptions;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.AgentOptimizationReferenceDatasetInput;Preview API. AgentsOptimization=V2Preview;
field;com.azure.ai.agents.models.AgentVersionDetails;Preview API. DraftAgents=V1Preview;draft
class;com.azure.ai.agents.models.AudioTranscription;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.AudioTranscriptionModel;Preview API.;
field;com.azure.ai.agents.models.AzureCreateResponseDetails;Preview API. ModelRouterControls=V1Preview;model_selection_details
field;com.azure.ai.agents.models.AzureCreateResponseOptions;Preview API. ModelRouterControls=V1Preview;routing_config
class;com.azure.ai.agents.models.BingCustomSearchConfiguration;Preview API. preview_tool;
class;com.azure.ai.agents.models.BingCustomSearchPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.BingCustomSearchToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.BingCustomSearchToolCallOutput;Preview API. preview_tool;
class;com.azure.ai.agents.models.BingCustomSearchToolParameters;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationPreviewToolboxTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationToolCallOutput;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationToolConnectionParameters;Preview API. preview_tool;
class;com.azure.ai.agents.models.BrowserAutomationToolParameters;Preview API. preview_tool;
class;com.azure.ai.agents.models.ChatSummaryMemoryItem;Preview API. MemoryStores=V1Preview;
field;com.azure.ai.agents.models.CreateAgentVersionInput;Preview API. DigitalWorker=V1Preview, DraftAgents=V1Preview, ExternalAgents=V1Preview, GitHubCopilot=V1Preview, Skills=V1Preview, VoiceAgents=V1Preview, WorkflowAgents=V1Preview;definition
field;com.azure.ai.agents.models.CreateAgentVersionInput;Preview API. DigitalWorker=V1Preview;digital_worker_type
field;com.azure.ai.agents.models.CreateAgentVersionInput;Preview API. DraftAgents=V1Preview;draft
class;com.azure.ai.agents.models.CreateTeamsPhoneExtensionTelephonyBindingInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.CreateTelephonyBindingInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.CreateTelephonyCallJobInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.CreateTwilioTelephonyBindingInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.ExternalAgentDefinition;Preview API. ExternalAgents=V1Preview;
class;com.azure.ai.agents.models.FabricDataAgentToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.FabricDataAgentToolCallOutput;Preview API. preview_tool;
class;com.azure.ai.agents.models.FabricDataAgentToolParameters;Preview API. preview_tool;
class;com.azure.ai.agents.models.FabricIqPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.FabricIqPreviewToolboxTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.GenerateAgentRequest;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.GenerateVoiceAgentRequest;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.GitHubCopilotHarness;Preview API. GitHubCopilot=V1Preview;
class;com.azure.ai.agents.models.GitHubCopilotToolsetPreview;Preview API. GitHubCopilot=V1Preview;
class;com.azure.ai.agents.models.McpListToolsTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.McpListToolsToolAnnotations;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.McpListToolsToolInputSchema;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.MemoryCommandToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.MemoryCommandToolCallOutput;Preview API. preview_tool;
class;com.azure.ai.agents.models.MemoryItem;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryItemKind;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryOperation;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryOperationKind;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemorySearchItem;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemorySearchOptions;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemorySearchPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.MemorySearchToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.MemoryStoreDefaultDefinition;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreDefaultOptions;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreDefinition;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreDetails;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreKind;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreObjectType;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreOperationUsage;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreSearchResponse;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreUpdateCompletedResult;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreUpdateResponse;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MemoryStoreUpdateStatus;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.MicrosoftFabricPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.ModelRouterAttempt;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelRouterAttemptError;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelRouterAttemptResult;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelRouterDetails;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelRouterMode;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelRouterResponseHeaderValue;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.ModelSelectionDetails;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.OptimizedAgentIdentifier;Preview API. AgentsOptimization=V2Preview;
class;com.azure.ai.agents.models.ProceduralMemoryItem;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.PromotionInfo;Preview API. AgentsOptimization=V2Preview;
field;com.azure.ai.agents.models.PromptAgentDefinition;Preview API. GitHubCopilot=V1Preview;harness
field;com.azure.ai.agents.models.PromptAgentDefinition;Preview API. Skills=V1Preview;skills
class;com.azure.ai.agents.models.PstnTelephonyTransferDestination;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeAudioFormat;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeAudioFormatType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeClientEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeClientEventType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationCreatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemAddedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemAssistantMessage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemCreatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemCreateEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemDeletedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemDeleteEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemFunctionCall;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemFunctionCallOutput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemInputAudioTranscriptionCompletedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemInputAudioTranscriptionDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemInputAudioTranscriptionFailedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemInputAudioTranscriptionSegmentEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemMessage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemMessageType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemObjectType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemRetrievedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemRetrieveEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemSystemMessage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemTruncatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemTruncateEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeConversationItemUserMessage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeErrorEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferAppendEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferClearedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferClearEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferCommitEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferCommittedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferDtmfReceivedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferSpeechStartedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferSpeechStoppedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeInputAudioBufferTimeoutTriggeredEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpApprovalInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpApprovalOutput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpError;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpErrorType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpHttpError;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpListTools;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpListToolsCompletedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpListToolsFailedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpListToolsInProgressEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpProtocolError;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpToolCall;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeMcpToolExecutionError;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeOutputAudioBufferClearedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeOutputAudioBufferClearEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeOutputAudioBufferStartedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeOutputAudioBufferStoppedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimePcmaAudioFormat;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimePcmAudioFormat;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimePcmuAudioFormat;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeRateLimitsUpdatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseAudioDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseAudioDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseAudioTranscriptDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseAudioTranscriptDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseCancelEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseContentPart;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseContentPartAddedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseContentPartDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseCreatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseCreateEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseFunctionCallArgumentsDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseFunctionCallArgumentsDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseMcpCallArgumentsDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseMcpCallArgumentsDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseMcpCallCompletedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseMcpCallFailedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseMcpCallInProgressEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseOutputItemAddedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseOutputItemDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseTextDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeResponseTextDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSemanticVadTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeServerEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeServerEventType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeServerVadTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionAudioConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionAudioInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionAudioOutput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionConfigurationBase;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionCreatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionCreateRequestGAAudioOutputVoice;Preview API.;
class;com.azure.ai.agents.models.RealtimeSessionTracingConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionUpdatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeSessionUpdateEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeTranscriptionSessionAudioConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeTranscriptionSessionAudioInput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeTranscriptionSessionConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.RealtimeTurnDetectionType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.ReminderPreviewToolboxTool;Preview API. preview_tool;
field;com.azure.ai.agents.models.Response;Preview API. ModelRouterControls=V1Preview;model_selection_details
field;com.azure.ai.agents.models.RoutingConfiguration;Preview API. ModelRouterControls=V1Preview;session_affinity
class;com.azure.ai.agents.models.RoutingTraceEntry;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinityConfiguration;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinityDecision;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinityDetails;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinityMode;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinityRequestMode;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SessionAffinitySource;Preview API. ModelRouterControls=V1Preview;
class;com.azure.ai.agents.models.SharepointGroundingToolCall;Preview API. preview_tool;
class;com.azure.ai.agents.models.SharepointGroundingToolCallOutput;Preview API. preview_tool;
class;com.azure.ai.agents.models.SharepointGroundingToolParameters;Preview API. preview_tool;
class;com.azure.ai.agents.models.SharepointPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.SipTelephonyTransferDestination;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.SkillReference;Preview API. Skills=V1Preview;
class;com.azure.ai.agents.models.TeamsPhoneExtensionTelephonyBinding;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TeamsPhoneExtensionTelephonyBindingListItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TeamsTelephonyTransferDestination;Preview API. VoiceAgents=V1Preview;
